id,title,authors,year,venue,database,search_string,doi,url,abstract,notes,duplicate
AX001,"Enhancing LLM-Based Test Generation by Eliminating Covered Code","WeiZhe Xu - Mengyu Liu - Fanxin Kong",2026,arXiv,arXiv,"Enhancing LLM-Based Test Generation by Eliminating Covered Code",10.48550/arXiv.2602.21997,https://arxiv.org/abs/2602.21997,https://arxiv.org/pdf/2602.21997.pdf,,x
AX002,"MultiFileTest: A Multi-File-Level LLM Unit Test Generation Benchmark and Impact of Error Fixing Mechanisms","Yibo Wang, Congying Xia, Wenting Zhao, Jiangshu Du, Chunyu Miao, Zhongfen Deng, Philip S. Yu, Chen Xing",2025,arXiv,arXiv,"MultiFileTest: A Multi-File-Level LLM Unit Test Generation Benchmark",10.48550/arXiv.2502.06556,https://arxiv.org/abs/2502.06556,https://arxiv.org/pdf/2502.06556.pdf,,x
AX003,"Benchmarking LLMs for Unit Test Generation from Real-World Functions","Dong Huang, Jie M. Zhang, Mark Harman, Qianru Zhang, Mingzhe Du, See-Kiong Ng",2025,arXiv,arXiv,"Benchmarking LLMs for Unit Test Generation from Real-World Functions",10.48550/arXiv.2508.00408,https://arxiv.org/abs/2508.00408,https://arxiv.org/pdf/2508.00408.pdf,,x
AX004,"Large Language Models for Unit Test Generation: Achievements, Challenges, and the Road Ahead","Bei Chu, Yang Feng, Kui Liu, Zhaoqiang Guo, Yichi Zhang, Hange Shi, Zifan Nan, Baowen Xu",2025,arXiv,arXiv,"Large Language Models for Unit Test Generation: Achievements, Challenges, and the Road Ahead",10.48550/arXiv.2511.21382,https://papers.cool/arxiv/2511.21382,https://arxiv.org/pdf/2511.21382.pdf,"(Preprint, review of 115 publications. Potential duplicate/variant: ""Large Language Models for Unit Test Generation: Achievements, Challenges, and Opportunities"")",x
AX005,"An Empirical Study of Unit Test Generation with Large Language Models","Lin Yang, Chen Yang, Shutao Gao, etc.",2024,arXiv,arXiv,"An Empirical Study of Unit Test Generation with Large Language Models",10.48550/arXiv.2406.18181,https://arxiv.org/abs/2406.18181,https://arxiv.org/pdf/2406.18181.pdf,"(Preprint)",
AX006,"Call-Chain-Aware LLM-Based Test Generation for Java Projects","Guancheng Wang, Qinghua Xu, Lionel C. Briand, Zhaoqiang Guo, Kui Liu",2026,arXiv,arXiv,"Call-Chain-Aware LLM-Based Test Generation for Java Projects",10.48550/arXiv.2604.22046,https://arxiv.org/abs/2604.22046,https://arxiv.org/pdf/2604.22046.pdf,"(Preprint)",x
AX007,"HITS: High-coverage LLM-based Unit Test Generation via Method Slicing","Zejun Wang, Kaibo Liu, Ge Li, Zhi Jin",2024,"ASE 2024",arXiv,"HITS: High-coverage LLM-based Unit Test Generation via Method Slicing",10.48550/arXiv.2408.11324,https://arxiv.org/abs/2408.11324,https://arxiv.org/pdf/2408.11324.pdf,,x
CORE001,"Knowledge Matters: Injecting Project and Testing Knowledge into LLM-based Unit Test Generation","Anji Li, Mingwei Liu, Zhenxi Chen, Zheng Pei, Zike Li, Dekun Dai, Yanlin Wang, Zibin Zheng",2025,"ICSE 2026",CORE,"Knowledge Matters: Injecting Project and Testing Knowledge into LLM-based Unit Test Generation",10.1145/3744916.3787769,https://arxiv.org/abs/2511.14224,https://arxiv.org/pdf/2511.14224.pdf,"(Preprint, accepted at ICSE 2026. File duplicate: ""Injecting Project and Testing Knowledge into LLM-based Unit Test Generation"")",x
AX008,"TestExplora: Benchmarking LLMs for Proactive Bug Discovery via Repository-Level Test Generation","Steven Liu, Jane Luo, Xin Zhang, Aofan Liu, Hao Liu, Jie Wu, Ziyang Huang, Yangyu Huang, Yu Kang, Scarlett Li",2026,arXiv,arXiv,"TestExplora: Benchmarking LLMs for Proactive Bug Discovery via Repository-Level Test Generation",10.48550/arXiv.2602.10471,https://arxiv.org/abs/2602.10471,https://arxiv.org/pdf/2602.10471.pdf,,x
AX009,"Evaluating LLM-Based Test Generation Under Software Evolution","Sabaat Haroon, Mohammad Taha Khan, Muhammad Ali Gulzar",2026,arXiv,arXiv,"Evaluating LLM-Based Test Generation Under Software Evolution",10.48550/arXiv.2603.23443,https://arxiv.org/abs/2603.23443,https://arxiv.org/pdf/2603.23443.pdf,,
